Index	Text ID	original-text	gold-text
1	5048462	And when <<< he/she >>> wakes up, there's a memento from ME3 in his/her hand.	And when they wake up, there's a memento from ME3 in their hand.
2	4004782	The coach can state <<< he/she >>>, "... feels uncomfortable talking about team members behind their backs."	The coach can state they, "...feel uncomfortable talking about team members behind their backs."
3	W14_0210	After the beginning the dialog continues by iterative searching of unique navigation points that may help the navigator to find the position and orientation of the lost blind person, until he/she gets to the location from which <<< he/she >>> can continue with the track.	After the beginning, the dialogue continues by iterative searching of unique navigation points that may help the navigator to find the position and orientation of the lost blind person, until they get to the location from which they can continue with the track.
4	5079526	The person applying in such a case who falsely states that <<< he/she >>> is the inventor would also be subject to criminal penalties.	The person applying in such a case who falsely states that they are the inventor would also be subject to criminal penalties.
5	5095954	As to Perplexed's comments, I'd like to know what <<< he/she >>> thinks is going on in this country now?	As to Perplexed's comments, I'd like to know what they think is going on in this country now?
6	3070968	This means <<< he/she >>> has undergone observation, questioning and evaluation by a screening board and was deemed not yet ready to return to society.	This means they have undergone observation, questioning and evaluation by a screening board and were deemed not yet ready to return to society.
7	4004917	Governali (1972) indicated that a physical educator who coaches is subjected to "the human desire to do what <<< he/she >>> ought to do as a teacher and the equally human desire to do what he/she must do to survive as a coach" (p. 29).	Governali (1972) indicated that a physical educator who coaches is subjected to "the human desire to do what they ought to do as a teacher and the equally human desire to do what they must do to survive as a coach" (p. 29).
8	D19_1199	 Sometimes an utterance has an explicit addressee while the speaker does n't specify whom <<< he/she >>> is speaking to.	Sometimes an utterance has an explicit addressee while the speaker doesn't specify whom they are speaking to.
9	W18_7106	In the consent, we inform the learners about the project, and describe the management of personal information throughout the project, including the statement that participation is entirely voluntary and the subject can opt out of continued involvement whenever <<< he/she >>> wants without the need to provide any explanation.	In the consent, we inform the learners about the project, and describe the management of personal information throughout the project, including the statement that participation is entirely voluntary and the subject can opt out of continued involvement whenever they want without the need to provide any explanation.
10	2021_acl_long_281	For dessert <<< he/she >>> ate cheese with quince.	For dessert they ate cheese with quince.
11	R13_1065	This means that when the requester used a pre-sequence, <<< he/she >>> also used the requestee ' s perspective (to mitigate the directness of a request and its impact and effect on the requestee). 	This means that when the requester used a pre-sequence, they also used the requestee's perspective (to mitigate the directness of a request and its impact and effect on the requestee).
12	5112606	Some would vote for anyone who says <<< he/she >>> will cut their taxes, or anyone who might do otherwise. 	Some would vote for anyone who says they will cut their taxes, or anyone who might do otherwise.
13	4088856	It has been found significant that one teacher has stated <<< he/she >>> believes that it is of no use to give lessons in language laboratories.	It has been found significant that one teacher has stated they believe that it is of no use to give lessons in language laboratories.
14	5148423	However, after a bit of spewing I usually calm down enough to apologize to him/her (the person, not the company) and lamely try to explain that I understand <<< he/she >>> is n't responsible for my plight and express the hope they are getting combat pay for taking all this crap.	However, after a bit of spewing I usually calm down enough to apologize to them (the person, not the company) and lamely try to explain that I understand they aren't responsible for my plight and express the hope they are getting combat pay for taking all this crap.
15	W11_2852	Only buttons of the wrong colour are visible: in this case the system reminds the user that <<< he/she >>> needs a button with another colour, for example by saying No, not this button. 	Only buttons of the wrong color are visible: in this case the system reminds the user that they need a button with another color, for example by saying No, not this button.
16	2020934	For example, say "I'd like to hurt (name) for what <<< he/she >>> did to me."	For example, say "I'd like to hurt (name) for what they did to me."
17	5123336	It is unlikely that <<< he/she >>> will ever have a lasting relationship with anyone man or woman.	It is unlikely that they will ever have a lasting relationship with anyone, man or woman.
18	2000_amta_workshop_3	The learner must create as much sentences using phrasal verbs <<< he/she >>> has learned at the lesson as possible.	The learner must create as many sentences using phrasal verbs they have learned at the lesson as possible.
19	5085553	LBR, to be clear, the Town Manager would NOT be able to "run the town as <<< he/she >>> sees fit".	LBR, to be clear, the Town Manager would NOT be able to "run the town as they see fit".
20	S17_2082	User based features did n't enhance the performance for the latter subtask, thus we conclude that the identity and behavior of the user did n't affect much the credibility of the rumour <<< he/she >>> is spreading, at least for the data set provided.	User-based features didn't enhance the performance for the latter subtask, thus we conclude that the identity and behavior of the user didn't affect much the credibility of the rumor they are spreading.
21	Y18_1077	In a single post, it is possible that one may describe who he/she travelled with, how he/she celebrated his/her birthday, and what <<< he/she >>> ate with his/her friends, summing up to three different events. 	In a single post, it is possible that one may describe who they traveled with, how they celebrated their birthday, and what they ate with their friends, summing up to three different events.
22	3041385	Everyone has a right to advertise anything <<< he/she >>> wants to.	Everyone has a right to advertise anything they want to.
23	4019579	One possibility could be that the agenda is more focused because the Representative has a narrower constituency, that is, the group <<< he/she >>> is aiming to be employed by.	One possibility could be that the agenda is more focused because the Representative has a narrower constituency, that is, the group they are aiming to be employed by.
24	5164067	Not every CEO has to be responsible, but <<< he/she >>> should be intimately involved with the social media activities, and understand the basic principles of social media.	Not every CEO has to be responsible, but they should be intimately involved with the social media activities and understand the basic principles of social media.
25	5104424	If <<< he/she >>> plays with his keys, for example, take them and start a flirty game of keep-away.	If they play with their keys, for example, take them and start a flirty game of keep-away.
26	5069243	When <<< he/she >>> 's done, gently encourage him/her to go home and talk to his/her partner, and see if they can decide what will happen next.	When they're done, gently encourage them to go home and talk to their partner, and see if they can decide what will happen next.
27	5164067	I think you are right that the CEO doesn't have to be implementing the social media himself/herself, as long as <<< he/she >>> is intimately involved.	I think you are right that the CEO doesn't have to be implementing the social media themself, as long as they are intimately involved.
28	5157049	If so, full credit because <<< he/she >>> will prove to be better than the society the people who the dropped rockets on and shot up his town represent.	If so, full credit because they will prove to be better than the society the people who the dropped rockets on and shot up his town represent.
29	5139293	Now if we assume that the user is in good shape after daily use for 1 month, then we can assume <<< he/she >>> can sustain 150 watt power output for about region, time of day, time of year, temp, etc.	Now if we assume that the user is in good shape after daily use for 1 month, then we can assume they can sustain 150 watt power output for about region, time of day, time of year, temp, etc.
30	L18_1076	With both models, it is assumed that each problem is independent: whether a test taker answered a problem correctly has no influence on whether <<< he/she >>> answered the other problems correctly.	With both models, it is assumed that each problem is independent: whether a test taker answered a problem correctly has no influence on whether they answered the other problems correctly.
31	4040553	The answers and the lengths to which each contender says <<< he/she >>> would go to become a star will help decide the ultimate winner.	The answers and the lengths to which each contender says they would go to become a star will help decide the ultimate winner.
32	C04_1023	At the end of step 2, for future revision in step 3, the user selects one title that <<< he/she >>> deems the better one from these candidates of title.	At the end of step 2, for future revision in step 3, the user selects one title that they deem the better one from these candidates of title.
